" Celle verdi indicano viaggi già effettuati, celle rosse i pagamenti ancora da effettuare, celle arancioni viaggi confermati ma ancora effettuati",,,,, Prenotazioni PROGRAMMATE,,,,, PARENTE VIAGGI,,
,,,,, Importo già saldato,, Da saldare, Totale programmato,,,,
,,,,,"€ 264.242,82",,"€ 6.146,03","€ 270.388,85",,,,
,Data partenza,Data rientro,Evento,,Capienza bus,numero autisti, Costo Noleggio, Costo ZTL/parcheggio,Fattura numero:, Pagata:, Data pagamento, Note
126,17/06/2025,, Navette Bus per il Concerto di Vasco Rossi a Napoli,,,1," € 1.200,00 "," € 100,00 ",331," € 1.300,00 ",21/06/2025,
127,19/06/2025,, Studi Elios - Tu Si Que Vales,,,1," € 990,00 ",,332," € 990,00 ",21/06/2025,
128,21/06/2025,, Navette Bus per il Concerto degli Imagine Dragons a Napoli,,,2," € 1.200,00 "," € 100,00 ",336," € 1.300,00 ",27/06/2025,
129,21/06/2025,, Napoli,,,1," € 1.050,00 "," € 122,00 ",335," € 1.172,00 ",27/06/2025,
130,21/06/2025,, Navette Bus per il Concerto dei Pinguini Tattici Nucleari ad Ancona,,,1," € 850,00 ",,337," € 850,00 ",27/06/2025,
131,22/06/2025,, Spello e Rasiglia,,,2," € 1.300,00 "," € 140,00 ",339," € 1.440,00 ",04/07/2025,
132,22/06/2025,, Vieste,,,1," € 1.000,00 ",,340," € 1.000,00 ",04/07/2025,
133,23/06/2025,, Roma - Mostra Caravaggio,,,2," € 1.200,00 "," € 50,00 ",341," € 1.250,00 ",04/07/2025,
134,28/06/2025,, Navette Bus per il Concerto di Vasco a Roma,,,1," € 1.050,00 "," € 50,00 ",352," € 1.100,00 ",04/07/2025,
135,29/06/2025,, Mirabilandia,,,1," € 1.200,00 "," € 1.673,00 ",353," € 2.873,00 ",04/07/2025, 70 tkt
136,30/06/2025,, Navette Bus per il Concerto di Marracash a Roma,,,2," € 1.200,00 "," € 50,00 ",354," € 1.250,00 ",04/07/2025,
137,01/07/2025,, Navette Bus per il Concerto di Achille Lauro a Roma,,,2," € 1.200,00 "," € 50,00 ",357," € 1.250,00 ",12/07/2025,
138,02/07/2025,, Navette Bus per il Concerto di Marco Mengoni a Roma,, 4 bus,1," € 4.200,00 "," € 200,00 ",358," € 4.400,00 ",12/07/2025,
139,04/07/2025,, Navette Bus per il Concerto dei Pinguini Tattici Nucleari a Roma,,,1," € 1.050,00 "," € 50,00 ",363," € 1.100,00 ",12/07/2025,
140,05/07/2025,, positano  amalfi,,,," € 1.400,00 ",,364," € 1.400,00 ",12/07/2025, BUS ISECO
141,06/07/2025,, Navette Bus per il Concerto di Marco Mengoni a Bologna,,,1," € 1.600,00 ",,365," € 1.600,00 ",12/07/2025,
